id,year,sid,post,l_exp_pubwelfare,l_police,l_income,unemployrt,poverty,blackm_15_24,whitem_15_24,popwt
153,2010,15,1,7.121458,5.4856067,10.743372,9.9,13.80079102,0.15275028,2.979397,6158275.5
55,2000,6,0,6.782578,5.775768,11.019891,2.7,9.166316128457526,0.31917635,5.1907125,4600371.5
63,2008,6,0,6.8592544,5.8521967,11.030266,5.1,11.163946919518931,0.34942228,4.9597816,4600371.5
264,2000,26,0,6.839212,5.686426,10.952524,3.3,10.69741639891238,0.0071965577,1.0742565,5688724.5
29,2007,3,1,7.122257,5.885931,10.812734,3.8,14.240817271940411,0.3223738,3.5236807,5802964.5
145,2002,15,0,6.9455967,5.6668463,10.814706,5.2,9.78529751720524,0.113628745,3.3478513,6158275.5
90,2002,10,0,6.7825823,6.0579505,10.738221,5.7,13.098106853897772,1.2488528,2.1669493,17281274.0
82,2005,8,0,7.3352942,5.96317,10.954694,4.0,10.297133963769276,1.7015907,4.516319,822992.0
547,2008,51,0,7.147602,5.9612064,10.896961,3.2,9.460955984033143,0.13618115,6.9628353,504780.2
81,2004,8,0,7.2894435,5.9831476,10.923453,4.0,9.913324832603074,1.672169,4.581331,822992.0
312,2004,30,0,7.1845913,5.344789,11.091042,3.9,6.742870274253746,6.9400225,24.535528,1274359.0
257,2004,25,0,7.401577,5.754965,10.599555,6.4,19.57998280231071,1.9748822,12.08979,2847116.8
235,2004,23,0,7.0604925,5.6366377,10.794993,7.0,12.595543035800718,0.2004786,3.1948874,9905407.0
445,2005,42,0,7.0033107,5.7183757,10.782969,3.7,13.505568788512038,11.35553,40.637882,761746.56
543,2004,51,0,7.068328,5.989363,10.866681,3.9,10.415727645198098,0.13115846,7.3393917,504780.2
423,2005,40,0,7.726525,5.7380543,10.919913,5.1,11.860705632627134,10.197625,17.975,1042039.56
515,2009,48,0,7.1602607,5.437458,11.024986,9.0,12.42339061718237,0.36063847,0.20591563,6189167.5
231,2000,23,0,6.9553423,5.6799097,10.961677,3.7,9.820195065208384,0.16456531,3.1056025,9905407.0
10,2010,1,1,7.1459756,5.831543,10.620742,10.0,16.97416726,2.1828167,4.515513,4499293.0
544,2005,51,0,7.1057153,5.8912435,10.818638,3.7,10.555786650943205,0.12357994,7.3138323,504780.2
568,2010,,,6.834134794692191,5.416708708935731,11.054751839345949,,9.884685841546801,1.1929005398022694,,1768355.7347664342
6,2006,1,0,6.9676113,5.832794,10.622327,3.6,16.167670139138036,2.2692394,4.483489,4499293.0
479,2006,45,0,6.821353,5.6842217,10.9865465,2.9,10.572719183800556,0.02294061,1.796387,2449745.5
255,2002,25,0,7.306927,5.710405,10.530174,6.7,19.15378453726488,1.8989798,11.942194,2847116.8
449,2009,42,1,7.039887,5.6811223,10.748969,4.8,13.918542446890385,11.127502,38.23855,761746.56
244,2002,24,0,7.422735,5.5519,11.100436,4.5,7.601105461910087,1.9581742,2.5267174,5031185.0
163,2009,16,0,7.282633,5.600164,10.850463,5.9,11.49119803416049,0.5508446,5.64588,2907060.2
195,2008,19,1,7.2147923,6.25558,10.598208,4.6,17.389424079959802,0.036729302,1.900298,4365311.5
218,2009,21,0,7.290353,5.901472,11.08592,7.1,9.0314573090021,0.6096231,6.0882125,5471289.5
158,2004,16,0,7.1390557,5.565522,10.821497,4.7,10.68328209696738,0.5399547,5.993655,2907060.2
364,2001,35,0,7.098627,5.498955,10.693762,2.8,11.540407306567037,16.553398,105.71568,625979.44
196,2009,19,1,7.2518706,5.858748,10.740367,6.7,17.431553473544195,0.03767387,1.8466089,4365311.5
78,2001,8,0,6.8777075,5.951025,11.020055,3.5,8.611550325306514,1.602815,4.693227,822992.0
569,2000,32,0,7.062280866493185,5.741636612588801,10.857964614722244,,9.895813244294658,,15.743465906087467,
499,2004,47,0,6.8000646,5.723632,10.985835,3.7,9.760298270136758,0.26070395,4.5055327,7382067.5
83,2006,8,0,7.3722396,5.8901596,10.945635,3.6,10.398534932440985,1.6832342,4.3724723,822992.0
261,2008,25,1,7.332105,5.6433654,10.516156,7.0,20.23030091236437,2.0255997,11.595627,2847116.8
30,2008,3,1,7.1432114,5.889329,10.768632,5.1,14.742340421239,0.32791862,3.4180114,5802964.5
72,2006,7,0,7.346919,5.6234694,11.119631,4.3,8.019809353377031,0.8209577,4.744766,3424474.2
578,2008,,,,,,5.801711689349282,11.391595319660189,,0.0,13291930.832963727
503,2008,47,0,6.874715,5.731612,11.047216,4.2,9.960749411137254,0.27711034,4.3216696,7382067.5
412,2005,39,0,7.5023623,5.435243,10.853407,5.0,11.827920635751443,0.04254059,0.48086897,12172547.0
73,2007,7,0,7.3432674,5.6436834,11.119112,4.6,7.698325336330504,0.8307364,4.7535934,3424474.2
39,2006,4,0,7.156012,5.683826,10.598458,5.3,16.762093755959004,1.4322958,4.9646873,2732902.5
76,2010,7,0,7.4342494,5.684079,11.104235,9.0,9.444653159,0.89336306,4.940045,3424474.2
203,2005,20,0,7.609268,5.415316,10.800697,4.8,12.244551377180947,9.439943,16.598309,1289211.6
155,2001,16,0,7.0322146,5.5851717,10.829016,3.3,8.37597026134134,0.5161838,5.864119,2907060.2
567,2002,,,,,,,,,,12587098.18083396
274,2010,26,1,7.1122684,5.834339,10.740389,9.4,14.02751789,0.011291164,0.9936057,5688724.5
140,2008,14,0,7.211719,6.015435,10.895405,6.6,11.920128857915348,0.37636563,2.9173794,12520122.0
60,2005,6,0,6.805729,5.8248997,10.939231,5.1,10.910486155497164,0.3420466,5.1767287,4600371.5
132,2000,14,0,6.930705,6.0239134,10.973735,4.5,10.149905203648489,0.34592238,3.0660355,12520122.0
400,2004,38,0,7.0523357,5.2834773,10.7646675,7.3,13.154345531381065,2.9758444,19.091377,3581658.2
268,2004,26,0,7.06405,5.83316,10.79216,5.7,13.169118997571475,0.011063147,1.1391282,5688724.5
463,2001,44,0,6.6668663,5.8941917,10.826178,5.0,15.321404510720996,0.009121363,0.9153292,22486206.0
11,2000,2,0,7.5531344,5.683415,11.111104,6.2,8.631248734740767,0.3306544,4.9629436,651473.25
296,2010,28,0,7.1373267,5.585978,10.872902,4.7,11.53331966,1.0111054,5.9630017,1725508.9
284,2009,27,0,7.1805825,5.736776,10.623885,6.3,14.876440120176898,0.79351056,11.679706,921333.75
318,2010,30,0,7.2797356,5.5661416,11.108066,6.1,7.87772886,7.3676453,28.298544,1274359.0
79,2002,8,0,6.993193,5.982513,11.004995,4.0,9.527486477606711,1.6303576,4.667095,822992.0
234,2003,23,0,7.0050406,5.6456223,10.88506,7.1,11.07999926723822,0.19383584,3.199065,9905407.0
576,,,0,7.262474294953782,,10.786665158870104,,,,,35182163.096253045
518,2001,49,0,7.2059174,5.427613,10.506245,5.2,16.81611965791555,0.32443553,6.6120367,1789705.4
137,2005,14,0,7.173257,6.0236683,10.89772,5.7,11.936897921931624,0.36791566,3.0372615,12520122.0
520,2003,49,0,7.3110504,5.442439,10.567206,6.0,16.43198150148681,0.32674742,6.5744686,1789705.4
341,2000,33,0,7.6565757,6.1535053,10.851025,4.5,13.4089178971337,0.73295295,1.9836001,18912244.0
228,2008,22,0,7.59354,5.742375,11.019989,5.1,9.770950126511451,1.85427,8.293108,6315575.0
271,2007,26,0,6.952983,5.834636,10.786779,5.0,13.00583206104777,0.011723081,1.1032549,5688724.5
291,2005,28,0,7.1599083,5.599325,10.887867,3.8,10.922004761636954,0.7884118,4.794385,1725508.9
488,2004,46,0,7.5763326,5.4578233,10.908357,3.7,8.874818524487539,20.419825,58.15341,608010.25
289,2003,28,0,7.1472416,5.6195536,10.861515,4.0,10.075601675928992,0.6924969,4.5986133,1725508.9
9,2009,1,1,7.0866895,5.900207,10.612508,9.9,17.378813647115702,2.2777638,4.4550176,4499293.0
501,2006,47,0,6.8479185,5.7013087,11.03114,3.0,9.33130739652728,0.2662869,4.3455195,7382067.5
513,2007,48,0,7.0496497,5.436905,11.019858,4.5,11.34115161683714,0.36072192,0.20300123,6189167.5
521,2004,49,0,7.310572,5.4415293,10.558985,5.3,16.3146470041002,0.32421997,6.499424,1789705.4
566,,29,0,,5.759050488845694,10.513980693155856,6.70522578366857,16.834268509681074,3.3597682334719177,,
553,2007,,0,,,10.73344930228384,6.516210486179479,10.495799220485194,,,
84,2007,8,0,7.3987317,5.903965,10.95787,3.4,10.162321784378594,1.7274762,4.4235353,822992.0
208,2010,20,0,7.6906843,5.3640285,10.781723,7.9,12.25258083,9.9204645,16.448118,1289211.6
354,2002,34,0,6.9363956,5.844681,10.697723,6.6,13.12549030403997,0.011185691,0.6331448,8533450.0
411,2004,39,0,7.389626,5.4198384,10.837834,5.5,11.387667867297246,0.042256642,0.48169062,12172547.0
441,2001,42,0,6.8420415,5.6103005,10.796633,3.1,11.855740911688423,10.709949,41.019386,761746.56
338,2008,32,0,7.515797,5.6828957,10.660431,4.0,16.81034702424695,11.665884,39.262398,1894993.1
199,2001,20,0,7.4065447,5.4311037,10.716393,3.8,10.353866003059728,8.621883,15.735713,1289211.6
333,2003,32,0,7.348758,5.57923,10.636264,6.0,17.99288137750731,12.085502,40.235012,1894993.1
109,2010,11,1,6.93579,5.8318973,10.694396,10.2,16.03643657,0.026641674,0.24613121,8871351.0
542,2003,51,0,6.987734,6.0678015,10.828698,4.5,10.932591347742134,0.121065125,7.307409,504780.2
299,2002,29,0,6.378921,5.962161,10.905718,5.7,10.460773326778185,0.04645307,3.6731572,2347658.5
165,2000,17,0,6.460618,5.9193,10.85871,3.8,9.019370274256197,0.99621403,9.695573,2702063.2
272,2008,26,1,6.979505,5.846135,10.749784,6.1,13.19192819875366,0.012580165,1.0903717,5688724.5
211,2002,21,0,6.959908,5.9045568,11.132587,4.5,8.369608904032756,0.56830215,6.0461936,5471289.5
77,2000,8,0,6.818771,5.970809,11.063006,3.3,8.876481027434169,1.5692666,4.686193,822992.0
429,2000,41,0,7.0296035,5.7585754,10.769916,3.6,13.024613261627945,0.017694207,1.3032326,4183317.2
290,2004,28,0,7.1640787,5.645836,10.83056,3.9,10.14799179257689,0.74258196,4.7030587,1725508.9
352,2000,34,0,6.8528,5.847395,10.789608,3.7,11.98617344106138,0.009172038,0.6284706,8533450.0
176,2000,18,0,7.182271,5.5270057,10.734569,4.3,14.014181435281444,3.2335658,5.07537,4105912.0
377,2003,36,0,7.1954913,5.647626,10.851122,6.2,10.74964422102321,0.23437496,1.6539434,11286245.0
390,2005,37,0,7.1123686,5.7655697,10.646472,4.5,16.368913783502297,0.15325488,5.732641,3490586.0
468,2006,44,0,6.8632545,5.8479753,10.754322,4.9,16.431753687704195,0.009664884,0.8304186,22486206.0
75,2009,7,0,7.480118,5.710678,11.096228,8.2,9.10027709360487,0.85291487,4.788085,3424474.2
348,2007,33,0,7.8408957,6.111419,10.848716,4.5,13.40588720782845,0.8478922,2.1252851,18912244.0
118,2008,12,0,7.1205835,5.691781,11.0397005,4.0,9.108838505537491,0.08513809,7.5759625,1248183.9
92,2004,10,0,6.953999,6.0506716,10.753404,4.7,12.212917306423362,1.278868,2.1538026,17281274.0
280,2005,27,0,6.8848433,5.7269554,10.637609,3.9,14.519942326972682,0.7990987,12.762189,921333.75
68,2002,7,0,7.1718163,5.6724505,11.077563,4.4,7.9799841508859535,0.7738308,4.479419,3424474.2
15,2004,2,0,7.8902493,5.6975317,11.059724,7.4,10.167258158100392,0.434302,5.875342,651473.25
332,2002,32,0,7.209191,5.7404623,10.668304,5.5,18.00411058778766,12.121176,40.16296,1894993.1
148,2005,15,0,6.9816647,5.613437,10.766294,5.3,12.089069894304828,0.12090186,3.3406134,6158275.5
88,2000,10,0,6.612029,6.0246444,10.803568,3.8,12.03967721540215,1.2267472,2.1707792,17281274.0
490,2006,46,0,7.5712957,5.5260854,10.936886,3.6,9.888316867230424,20.709143,58.206337,608010.25
117,2007,12,0,7.115412,5.6633906,11.117257,2.7,8.321909169673507,0.081705615,7.5991707,1248183.9
362,2010,34,0,7.097897,5.8492494,10.686316,10.2,15.8019829,0.014215808,0.51363343,8533450.0
383,2009,36,1,7.283579,5.5562005,10.750128,10.4,14.76119667216187,0.2451559,1.5510789,11286245.0
33,2000,4,0,6.8751,5.64795,10.5347595,4.2,15.193737853395971,1.4365499,5.412327,2732902.5
0,2000,1,0,6.926083,5.8546085,10.711102,4.1,14.705981469769505,2.2222428,4.69481,4499293.0
573,2003,42,1,,,11.002150276719252,,15.861666409278673,7.413168993361577,105.65250765924684,
286,2000,28,0,6.968198,5.6090274,10.875402,2.8,8.962717825643125,0.59429854,4.402615,1725508.9
328,2009,31,0,7.34437,6.175864,11.095074,9.1,9.227831577837613,0.04785824,0.54815024,8530271.0
539,2000,51,0,6.6286535,5.931988,10.823272,3.8,10.497624552062856,0.10881824,7.0644298,504780.2
220,2000,22,0,7.209129,5.7780538,10.988592,2.8,8.63947912826636,1.7168578,8.587781,6315575.0
227,2007,22,0,7.6319356,5.7548413,11.026419,4.5,9.654928058040072,1.8482363,8.4518385,6315575.0
22,2000,3,0,6.641533,5.883233,10.827151,4.0,12.88169850832002,0.26902184,4.0020657,5802964.5
473,2000,45,0,6.740052,5.7362285,11.005494,3.3,9.049801408225242,0.019473806,1.8613219,2449745.5
116,2006,12,0,7.090842,5.6498466,11.088155,2.4,9.164619470430916,0.07553493,7.5506926,1248183.9
89,2001,10,0,6.731031,5.9749074,10.711168,4.7,12.794836390706172,1.2422926,2.1736107,17281274.0
184,2008,18,1,7.30141,5.4829974,10.637513,6.4,16.92918935754176,3.0203786,4.4150896,4105912.0
446,2006,42,0,6.9422784,5.578723,10.802103,3.2,13.120156947202972,11.006639,38.545937,761746.56
18,2007,2,1,7.7396045,5.6311,11.101055,6.2,9.643634988134956,0.4484484,5.7454586,651473.25
188,2001,19,0,6.6803923,6.179482,10.62223,5.4,18.405861641100596,0.021018904,1.8179504,4365311.5
564,,,,7.071053003481446,,10.695291555509407,5.475569903219878,18.40295058255338,,,
144,2001,15,0,6.8040886,5.6390915,10.814323,4.2,9.159225476076172,0.111394666,3.353008,6158275.5
517,2000,49,0,7.141766,5.4351306,10.525085,5.5,15.521553684942813,0.31860468,6.5920687,1789705.4
523,2006,49,0,7.25406,5.4441624,10.634557,5.0,17.09360066429471,0.3262083,6.207581,1789705.4
340,2010,32,0,7.6754236,5.690047,10.716593,8.5,18.26907364,12.522727,41.702885,1894993.1
537,2009,50,0,7.247262,5.835123,10.860594,8.5,12.197209711005785,0.60152656,5.9851913,5434086.5
210,2001,21,0,6.9164457,5.9005785,11.096258,4.1,7.797390121553029,0.5581094,6.051798,5471289.5
519,2002,49,0,7.2947717,5.41693,10.479595,5.9,16.315263785367804,0.32700148,6.600493,1789705.4
482,2009,45,0,6.8481274,5.687888,10.993009,6.0,12.121542369455495,0.025190284,1.6841289,2449745.5
54,2010,5,0,7.4541197,5.773167,10.905204,12.4,14.18773378,0.53340614,4.0739574,35311970.0
247,2005,24,0,7.5094995,5.546819,11.011225,4.1,9.131741087103254,1.9369929,2.4429002,5031185.0
46,2002,5,0,7.325587,5.8049126,10.959401,6.7,13.549932870887362,0.5075603,2.8089104,35311970.0
93,2005,10,0,6.975622,6.0144396,10.779227,3.9,12.77622663377,1.2751898,2.1155517,17281274.0
322,2003,31,0,6.890759,6.1581063,11.10407,5.9,8.982143220880532,0.041425493,0.60830814,8530271.0
108,2009,11,1,6.9647646,5.904,10.693194,9.7,16.689530176200112,0.046822026,0.26512825,8871351.0
481,2008,45,0,6.730802,5.669214,11.056083,3.4,9.82001126337526,0.023765722,1.6913835,2449745.5
579,2010,25,0,7.629760404144986,,10.556349277177693,5.8622449313606735,11.36460416297507,,,
516,2010,48,0,7.157466,5.3872776,10.937614,9.2,12.23329286,0.3399643,0.28838766,6189167.5
561,2010,,,7.442465097066198,5.868269398934584,,,8.785747479786101,0.0,,2187051.1432476877
209,2000,21,0,6.868994,5.8925004,11.142543,3.6,8.058317497767524,0.54666114,6.0534477,5471289.5
360,2008,34,0,7.079187,5.8705144,10.679895,6.4,14.40700877081252,0.01316889,0.580571,8533450.0
353,2001,34,0,6.869812,5.85334,10.75786,5.6,12.161099800185315,0.010501302,0.632549,8533450.0
374,2000,36,0,6.944952,5.6971245,10.904028,4.0,9.846020709752716,0.22173835,1.6225592,11286245.0
497,2002,47,0,6.5802,5.720177,11.004613,4.2,9.798991880080084,0.26312262,4.5646286,7382067.5
447,2007,42,1,6.92038,5.640629,10.795711,3.0,12.866623278921042,11.081002,38.769234,761746.56
69,2003,7,0,7.1934614,5.6516523,11.084601,5.5,8.099420955072627,0.79036176,4.5726485,3424474.2
507,2001,48,0,7.0558414,5.477904,10.865287,6.2,10.02606973710237,0.37267637,0.21412778,6189167.5
381,2007,36,0,7.313334,5.5983834,10.851877,5.6,12.724188445612528,0.24319132,1.5903218,11286245.0
549,2010,51,0,7.184053,5.864707,10.865879,6.9,10.08913642,0.12643974,6.413045,504780.2
192,2005,19,0,7.052469,5.9532714,10.635543,6.7,20.106876318840243,0.031117966,1.9061918,4365311.5
405,2009,38,0,7.2026734,5.614782,10.817957,11.2,14.401781184614398,3.1320164,17.878086,3581658.2
238,2007,23,1,7.1824446,5.5634794,10.857383,7.2,13.575226220417283,0.21876304,3.084329,9905407.0
149,2006,15,0,6.9699297,5.530932,10.801676,5.0,12.174539717938645,0.12362359,3.226156,6158275.5
124,2003,13,0,6.878614,5.581176,10.824388,5.3,12.002940371221866,11.274749,41.586224,1401675.9
442,2002,42,0,6.889177,5.618311,10.734242,3.3,12.615528380532895,10.864894,40.84209,761746.56
185,2009,18,1,7.39969,5.5075355,10.677477,10.3,18.15324553151458,3.0204375,4.3739886,4105912.0
249,2007,24,0,7.448127,5.5688624,11.0194645,4.6,9.336525360868256,1.8737257,2.3181577,5031185.0
275,2000,27,0,6.6736374,5.6258717,10.633425,4.8,13.411508343087164,0.7068346,12.456564,921333.75
434,2005,41,0,7.255355,5.909708,10.712883,6.7,15.592879951948984,0.02088012,1.2890983,4183317.2
250,2008,24,0,7.477551,5.577163,10.926298,5.5,9.450358763726944,1.8653746,2.2926066,5031185.0
512,2006,48,0,7.0297227,5.418145,10.988288,5.0,11.521736615196415,0.3533101,0.19908383,6189167.5
420,2002,40,0,7.594609,5.7133455,10.847549,5.1,11.267198441541307,9.706993,17.426525,1042039.56
346,2005,33,0,7.8453145,6.105384,10.872143,5.0,13.853909953082974,0.826474,2.1039464,18912244.0
534,2006,50,0,7.0806303,5.7867203,10.931302,4.7,10.606971359339845,0.5878694,6.2121773,5434086.5
431,2002,41,0,7.1964073,5.7214427,10.732629,5.9,14.291904199980914,0.017422397,1.3102297,4183317.2
114,2004,12,0,7.144258,5.6322765,11.080911,3.2,9.163509936365532,0.06837771,7.7887836,1248183.9
141,2009,14,0,7.3008323,5.98544,10.891969,10.0,13.072642774842446,0.38329944,2.9194896,12520122.0
321,2002,31,0,6.875048,6.139282,11.099439,5.8,8.430945819218886,0.040474754,0.60172546,8530271.0
7,2007,1,1,6.9971676,5.8762283,10.700725,3.5,16.3587736322205,2.2898014,4.504067,4499293.0
498,2003,47,0,6.765573,5.719969,11.081296,4.1,10.127601384795216,0.26047406,4.5492983,7382067.5
19,2008,2,1,7.694469,5.663492,11.07903,6.9,9.082181626017451,0.47957018,5.7294474,651473.25
172,2007,17,1,7.0325227,5.9451456,10.839541,4.1,10.944341323803124,1.1302739,9.27774,2702063.2
428,2010,40,0,7.701007,5.7045608,10.857344,12.0,12.24268062,10.1623955,19.29447,1042039.56
56,2001,6,0,6.851554,5.8625884,11.015904,3.8,8.846869463724678,0.32616222,5.240312,4600371.5
410,2003,39,0,7.3771114,5.4313593,10.83756,5.7,10.731467302151655,0.042274706,0.48083282,12172547.0
319,2000,31,0,6.783078,6.141676,11.06379,3.7,7.879940565937538,0.036267284,0.5961412,8530271.0
531,2003,50,0,7.1593647,5.7905912,10.912375,5.6,9.081969032478934,0.56532705,6.421956,5434086.5
305,2008,29,0,6.4435315,5.8499546,10.923002,6.7,11.323935143456907,0.054040574,3.386294,2347658.5
349,2008,33,0,7.7550645,6.032229,10.84152,5.4,13.360604761540309,0.8637502,2.1544523,18912244.0
49,2005,5,0,7.4175344,5.7519774,10.964779,5.4,13.234747880084702,0.52120584,2.7950153,35311970.0
350,2009,33,0,7.7693744,6.0687804,10.840463,8.4,13.9422029442497,0.8742427,2.1707437,18912244.0
25,2003,3,0,6.8782816,5.8425155,10.7955265,5.7,14.312328100075252,0.2804321,3.8021562,5802964.5
419,2001,40,0,7.427814,5.706945,10.938627,4.5,10.499832369704205,9.6707,17.504818,1042039.56
329,2010,31,0,7.363129,6.1241984,11.059425,9.6,9.316792034,0.04746403,1.0401201,8530271.0
281,2006,27,0,6.883476,5.6748214,10.702143,3.2,14.03054311096808,0.7844325,12.284573,921333.75
42,2009,4,0,7.2240677,5.861601,10.522477,7.1,18.28752110094523,1.4272712,4.8605375,2732902.5
394,2009,37,1,7.272662,5.8050146,10.750107,6.4,15.947350649141995,0.163487,5.4125776,3490586.0
355,2003,34,0,7.0358067,5.85601,10.696344,6.5,13.726298433635614,0.01209107,0.64021295,8533450.0
432,2003,41,0,7.2526245,5.7161245,10.728014,6.7,14.138992299715133,0.018460527,1.3180068,4183317.2
265,2001,26,0,6.9598455,5.746462,10.837834,4.5,11.08024440723126,0.008303466,1.0975025,5688724.5
396,2000,38,0,7.048711,5.4397697,10.893196,5.1,10.804124993869449,2.7448123,19.38594,3581658.2
361,2009,34,0,7.1387954,5.8797107,10.659562,10.8,16.30677763645841,0.013575504,0.57321125,8533450.0
154,2000,16,0,6.89284,5.5749435,10.857055,2.8,8.42207462028131,0.504012,5.745893,2907060.2
126,2005,13,0,7.0002785,5.5744624,10.80645,4.0,13.359806367572013,11.12806,40.70315,1401675.9
467,2005,44,0,6.8968077,5.8929086,10.742076,5.4,17.45219220423378,0.009654172,0.8759926,22486206.0
425,2007,40,0,7.6300073,5.7205286,10.950894,5.0,11.409094546943924,10.167928,17.96133,1042039.56
422,2004,40,0,7.67811,5.6983013,10.921088,5.2,11.81482774382306,9.983105,17.766022,1042039.56
174,2009,17,1,7.0907884,5.9085298,10.724478,6.6,12.948645257907687,1.1468644,9.128584,2702063.2
31,2009,3,1,7.2508726,5.892255,10.747079,8.6,16.849814185757324,0.3424579,3.3934796,5802964.5
113,2003,12,0,7.073268,5.678181,11.025963,3.9,10.91469328128261,0.062526345,7.723722,1248183.9
23,2001,3,0,6.637799,5.8773594,10.870319,4.7,13.528552523783668,0.2697849,3.9276001,5802964.5
173,2008,17,1,7.0515594,5.9138126,10.788968,4.5,11.07766899793745,1.1267909,9.130284,2702063.2
298,2001,29,0,6.2180715,5.893102,10.931606,5.3,9.524554005494137,0.045309983,3.6754165,2347658.5
245,2003,24,0,7.5500355,5.525926,11.044856,4.9,8.132029049610699,1.9515674,2.5014718,5031185.0
57,2002,6,0,6.75921,5.8628645,10.977295,5.7,9.692439855129564,0.32968038,5.240937,4600371.5
304,2007,29,0,6.5415792,5.9485016,10.948084,4.8,10.760865067015091,0.051669057,3.4669697,2347658.5
222,2002,22,0,7.063605,5.762019,11.009109,5.3,9.161176302753145,1.7398703,8.747045,6315575.0
524,2007,49,0,7.2551107,5.4504514,10.697859,4.6,16.70561542072118,0.33309615,6.21527,1789705.4
24,2002,3,0,6.8094916,5.8588862,10.782201,6.1,13.955462670219818,0.27604377,3.867437,5802964.5
17,2006,2,0,7.7931113,5.666709,11.018793,6.7,10.614085751425634,0.43593568,5.839986,651473.25
415,2008,39,0,7.3473926,5.475121,10.859999,5.5,11.710029571399904,0.041888252,0.45849198,12172547.0
66,2000,7,0,7.1247644,5.6879005,11.059157,2.3,7.381916566645216,0.73568076,4.3054004,3424474.2
483,2010,45,0,6.8928766,5.5482316,10.9470625,7.3,11.26795037,0.030724293,1.58616,2449745.5
571,,45,0,7.129772944190669,5.718751282737969,10.789695531003462,5.000445721837145,11.160506373935656,,4.257700017426938,
555,,27,0,,,,3.5558651001796457,,18.64874069918362,3.6756938571946525,2582833.47094956
212,2003,21,0,7.016074,5.883469,11.03518,4.5,8.953010830023869,0.57757396,6.074299,5471289.5
190,2003,19,0,6.63455,6.192849,10.589661,6.2,18.26472145390644,0.026299672,1.8867666,4365311.5
301,2004,29,0,6.4741473,5.8567915,10.905718,4.6,11.501535939773952,0.04649754,3.5955634,2347658.5
363,2000,35,0,7.0200744,5.4809313,10.727115,2.9,10.477246677411896,15.899601,103.493706,625979.44
505,2010,47,0,7.0037937,5.687075,11.008132,7.0,10.401901,0.2674816,4.293757,7382067.5
259,2006,25,0,7.2710624,5.756035,10.533695,6.8,20.21233173225587,1.9865042,11.729954,2847116.8
94,2006,10,1,6.9276214,6.014571,10.807584,3.3,12.341336091116975,1.2796043,2.058708,17281274.0
180,2004,18,0,7.320193,5.5299745,10.62386,5.5,16.57699793656078,3.3216212,4.931987,4105912.0
386,2001,37,0,6.917304,5.7540765,10.6886215,3.7,14.566323939707138,0.147745,5.6762037,3490586.0
311,2003,30,0,7.0236545,5.3628483,11.095499,4.5,6.534102712428849,6.8935704,24.318457,1274359.0
