id,homicide,murder,robbery,assault,burglary,larceny
73,3.233328,3.233328,123.12399,155.68617,447.5155,1743.6223
74,3.77898,3.77898,115.745575,168.39365,432.49283,1809.6733
75,3.0333493,3.0333493,114.49463,166.66252,434.1696,1716.7612
76,3.6501617,3.7343962,99.76173,162.60066,426.00195,1586.613
77,3.2937338,3.1619844,183.6586,463.75772,687.20465,2814.1663
78,2.9808962,3.7585216,149.82245,423.6761,666.68396,2524.1711
79,3.3238688,3.8352332,147.52864,421.61996,684.5891,2372.0918
80,2.6498623,2.6498623,181.83102,465.99722,765.43164,2389.0403
81,3.4764428,3.4764428,166.74509,419.2838,703.85547,2394.4
82,4.519984,5.0086308,159.54321,441.24814,709.8818,2209.2947
83,4.9210525,4.9210525,209.84773,437.38782,742.49304,2394.092
84,4.573766,4.573766,208.39955,468.40054,761.82526,2436.2927
85,6.6140327,6.6140327,214.31787,453.93152,787.0699,2558.0063
86,4.746293,4.746293,194.48225,416.40042,803.74426,2412.043
87,5.382427,5.7188287,205.0929,379.68536,842.6862,2413.0093
88,5.7908993,5.707531,203.98972,577.21735,1108.7872,3323.8223
89,5.460078,5.4538307,205.32767,564.3184,1099.837,3226.9934
90,5.5825677,5.551928,199.65492,542.177,1086.1311,3134.3145
91,5.5601873,5.5601873,189.69025,512.12695,1026.8535,3041.7896
92,5.567921,5.567921,176.5549,507.34592,978.9889,2839.781
93,5.0798182,5.056807,173.39842,508.2177,947.98157,2720.6196
94,6.2410555,6.2355275,188.76291,485.63593,944.5774,2618.999
95,6.6722445,6.6722445,211.80214,479.45795,1009.4129,2724.263
96,6.4293222,6.4238224,199.47398,455.66238,1036.5839,2787.95
97,5.581037,5.581037,169.6317,417.68326,998.13306,2633.388
98,5.285303,5.285303,139.68837,372.28992,905.6182,2454.9832
99,8.18597,7.5320983,166.61153,320.01987,861.1993,3023.4019
100,7.337416,6.9938583,176.71149,300.50278,880.96844,2926.1812
101,7.2781854,7.1460733,161.3211,277.73605,887.93866,2817.4866
102,7.786018,7.53715,166.42169,266.6563,936.23016,2929.4863
103,7.1432824,6.455756,159.13322,274.5561,967.1049,2906.5586
104,6.39373,6.1329927,159.17441,271.81287,957.5064,2829.4976
105,6.5570683,6.183294,171.01773,276.80652,907.9083,2547.8801
106,7.833669,7.544327,185.39326,287.30597,969.1031,2557.141
107,6.835447,6.604093,187.83807,279.7801,1058.5688,2595.8293
108,5.959358,5.875127,154.04836,258.5161,1038.2129,2413.3926
109,5.8047853,5.731965,128.71434,250.16751,1006.194,2347.4114
110,2.9768107,2.9768107,95.51309,123.32501,907.0767,3678.8276
111,2.692209,2.692209,96.07821,129.05777,939.0762,3779.6091
112,1.9858721,1.9858721,100.121056,137.02518,1052.6777,4082.9531
113,1.8004968,1.8004968,95.59001,150.83252,933.72125,3667.039
114,2.689469,2.689469,76.93511,155.09271,882.3903,3347.8184
115,1.9383633,2.0191283,80.8459,152.24228,790.85223,3407.3196
116,1.6336081,1.3224447,88.99275,162.5829,678.6475,2939.25
117,1.880091,1.880091,87.89425,158.31932,712.0061,2937.172
118,2.0308168,2.0308168,84.74755,159.02858,734.5308,2454.4766
119,1.7965368,1.7965368,80.453606,164.96893,722.0516,2610.0554
120,1.7810522,1.8552628,78.21788,158.1426,642.8857,2324.2732
121,1.2673699,1.2673699,17.663967,209.43288,580.61383,2261.0671
122,2.3264976,2.3264976,18.999731,194.72784,582.16724,2193.4995
123,2.7516203,2.7516203,18.344135,202.2441,568.7446,2221.1692
124,1.9502462,1.9502462,18.37732,191.72421,587.84924,2217.2048
125,2.279157,2.279157,17.718609,190.12581,563.9811,2087.193
126,2.5078208,2.937733,19.059439,200.05244,577.9452,1978.0258
127,2.1821182,2.1821182,20.048212,183.5707,510.2065,1712.4172
128,3.3491473,3.3491473,16.130587,198.76164,480.6368,1686.3982
129,1.539787,1.539787,16.13429,189.9294,455.57614,1591.4703
130,1.6079615,1.6079615,17.017593,197.77927,447.6833,1545.385
131,1.3518698,1.4162446,13.776197,174.13371,418.56464,1510.3605
132,7.4230137,5.554861,211.95267,419.35068,676.5854,2588.6396
133,8.075343,5.904375,205.01668,405.79834,650.945,2522.5745
134,7.826353,5.822937,206.1564,367.40695,663.24475,2477.615
135,7.2594714,5.2560196,192.93161,336.66104,635.4674,2400.1436
136,6.295135,4.083767,182.25223,337.21747,614.08234,2316.4885
137,6.189536,4.1317163,186.93202,338.8811,624.058,2231.9468
138,6.078568,4.855061,185.33397,318.40784,602.08215,2124.21
139,5.8827906,5.210025,180.70805,317.39688,590.81366,2095.83
140,6.1579165,5.128999,187.5982,303.05524,615.54224,2101.12
141,6.0461273,5.396931,179.29544,286.17816,608.9147,1946.1882
142,5.5174966,5.470606,156.72504,250.41307,589.2546,1874.0264
143,5.9637456,5.2521625,106.432526,217.49034,696.4706,2451.6924
144,6.9569025,6.4010243,120.79407,226.29305,720.25,2481.0874
145,6.05262,5.517582,110.55228,220.43575,712.3533,2442.3325
146,5.617002,5.3178716,106.374054,222.40337,691.0242,2421.0608
147,5.215442,4.9513693,105.183586,194.78687,695.9645,2453.7336
148,5.842414,5.4649544,111.74437,185.13559,718.09174,2482.6648
149,5.733727,5.4011073,113.81923,174.94203,723.98596,2397.2522
150,5.617543,5.3160367,124.72851,180.9674,738.40546,2362.177
151,5.0823956,4.8929896,119.81511,187.81187,771.90857,2313.0425
152,4.91922,4.6511855,115.83817,191.95995,770.6778,2163.0378
153,4.5213466,4.041341,96.295395,187.62039,729.5317,2121.7349
154,1.6299601,1.8071296,37.949722,212.7098,579.06104,2307.3857
155,1.7737057,1.7382315,40.937126,213.27037,598.9804,2349.9473
156,1.5534573,1.624069,41.272537,225.1807,658.2069,2415.3083
157,1.7606453,1.7606453,39.825794,218.24959,616.754,2267.711
158,1.5432289,1.5432289,40.685123,228.43294,628.7956,2182.0554
159,1.3973598,1.3973598,40.2789,232.55562,633.94727,2121.297
160,1.9114144,1.8108135,44.16373,215.15147,623.35583,2074.857
161,1.3458651,1.3122185,44.81731,223.58185,578.5874,1917.7233
162,2.5800908,2.5800908,41.851086,214.04703,556.16034,1752.5183
163,1.2756473,1.2756473,40.317165,213.36879,551.1803,1670.3258
164,1.2857865,1.2857865,33.331543,212.5504,549.12976,1578.649
165,6.48387,3.683145,78.57376,277.42523,824.2572,3072.242
166,3.5213478,3.1768682,92.741585,285.11435,785.184,2948.6694
167,2.9611385,2.5055788,82.190575,263.883,747.0801,2804.6157
168,4.731717,3.5203977,85.05735,279.13345,831.7602,3008.2744
169,4.5977807,4.5977807,68.28835,273.37952,759.2368,3056.959
170,3.793262,3.7557049,67.4149,289.45218,714.63556,2862.6733
171,4.5946655,4.48613,69.0647,318.69614,735.3997,2804.4463
172,3.952387,3.8436058,73.82624,335.26395,736.48566,2670.1094
173,4.0667977,4.0308084,60.534103,308.10492,710.53796,2448.2842
174,4.4999075,4.463908,64.29468,301.31378,701.01355,2357.9155
175,3.5294309,3.4588423,54.49441,274.58972,684.85077,2244.7886
176,4.9147367,1.833477,82.9139,187.49849,644.46716,1862.5325
177,4.581462,1.9996436,82.74474,152.09947,682.5113,1808.4878
178,4.8012834,2.1366968,78.70586,168.22089,675.97546,1819.4099
179,4.5215683,1.9735022,80.53887,142.46687,650.3564,1725.7651
180,5.854432,5.3831005,81.069,134.20541,642.5487,1749.7557
181,4.6813793,4.3610744,90.91731,143.71834,651.89435,1733.4408
182,4.2082,3.6613717,87.96802,150.11624,669.5555,1727.145
183,5.1835055,4.7317324,96.29907,163.37553,660.897,1678.3145
184,4.769777,4.580875,95.86779,167.74503,697.4028,1820.3782
185,4.3273754,4.139229,85.65381,132.71402,702.72815,1715.381
186,4.3309727,4.192011,86.80473,120.71138,702.0113,1718.238
187,12.924038,12.370151,173.82831,481.2127,1068.2871,3331.2864
188,11.571946,11.248578,181.64029,482.97284,1072.9111,3223.3992
189,13.639578,13.294563,163.83594,470.2549,1043.0941,3066.076
190,13.390592,13.000797,160.6871,445.4894,1021.99567,2968.6528
191,13.102372,12.714323,149.8327,458.58304,1035.3842,3060.568
192,10.251161,9.112143,121.57876,448.34018,897.136,2570.5354
193,13.107053,12.500676,138.60358,529.0398,1095.815,2624.4424
194,14.525605,14.088226,145.3021,535.99713,1080.3735,2714.4236
195,12.458026,12.2047205,143.9236,495.83405,1048.0631,2580.5386
196,11.9912615,11.741916,139.4069,472.5781,1063.754,2586.4402
197,11.357343,11.067842,116.04532,399.33307,1011.8056,2450.2688
198,1.2096667,1.2096667,19.919178,65.72522,546.36615,1927.8861
199,1.517881,1.517881,21.090557,65.987885,551.0707,1964.0582
200,1.1115108,1.1115108,21.436277,58.354313,552.97656,1952.3685
201,1.2592456,1.2592456,22.745125,60.050274,517.7861,1892.2527
202,1.4076521,1.4076521,22.600637,58.02655,495.88458,1884.3771
203,1.4801277,1.4801277,25.16217,63.48969,492.57092,1886.6176
204,1.740349,1.740349,28.980595,59.474537,517.33765,1926.869
205,1.521167,1.521167,26.544365,61.150913,513.0136,1842.7417
206,2.3572907,2.3572907,25.321865,63.038517,498.7571,1877.8483
207,1.9751135,1.9751135,30.310396,59.253407,511.1746,1819.7633
208,1.8055675,1.8055675,31.146038,59.73419,553.63214,1849.5781
209,8.329411,8.484377,262.667,506.15698,763.7101,2816.9485
210,8.5096855,8.853126,258.05716,508.82574,792.8317,2784.4224
211,9.639246,9.921095,252.1048,501.9736,747.1825,2692.976
212,9.7720375,9.7720375,247.59552,439.1461,719.2406,2501.1206
213,9.609233,9.609233,235.56453,449.12558,676.96216,2395.6313
214,10.1074505,10.1074505,263.26978,424.3115,657.7533,2352.747
215,9.722694,9.722694,255.99535,391.98843,667.0374,2270.5698
216,9.896669,9.896669,236.84123,376.4307,662.66595,2274.2332
217,8.774975,8.774975,234.9664,366.02145,691.10486,2383.696
218,7.8049917,7.8049917,212.98758,355.1626,654.6437,2231.0037
219,7.499417,7.429655,192.78734,329.7825,637.3109,2065.9673
220,2.039857,1.9909003,94.89414,368.7082,499.35696,1720.4153
221,2.3216898,2.516517,105.1417,358.96896,526.52026,1734.3022
222,2.7855701,2.7855701,115.43209,354.52417,535.26416,1737.7126
223,2.251248,2.203007,128.81963,327.6852,562.21704,1673.4652
224,2.7574348,2.7413094,120.68211,323.152,556.2762,1638.4161
225,2.8789265,2.862753,126.75364,321.5017,561.6818,1586.3047
226,2.9205277,2.9049928,127.27597,345.69415,549.26117,1565.7601
227,2.920271,2.8892043,109.10629,325.64127,555.8145,1614.1797
228,2.5812354,2.565779,109.29291,323.13358,560.4527,1654.5874
229,2.65697,2.65697,114.67974,324.5036,530.08856,1640.2413
230,3.2235231,3.2849238,105.51666,333.4658,579.72766,1606.9264
231,6.9050546,6.8637686,141.52782,369.02304,720.3345,2351.0522
232,6.899294,6.8684936,132.82167,375.26205,739.6002,2327.5671
233,6.920346,6.971381,120.92233,371.7083,724.3908,2188.044
234,6.228475,6.208121,114.53474,348.2043,695.2688,2122.3428
235,6.5220203,6.5220203,114.98231,327.37906,651.52246,1977.7849
236,6.3757005,6.568289,135.29865,372.6085,714.8792,1967.3445
237,7.161505,7.1416945,141.03114,363.4439,756.3263,1973.1086
238,6.5682406,6.5286136,132.39513,347.71057,744.1331,1891.4949
239,5.514799,5.5048447,131.73799,329.59384,743.4626,1834.2979
240,6.205669,6.185747,123.78467,321.25043,757.49005,1779.3037
241,5.72225,5.883724,115.9891,320.1937,745.48706,1685.1875
242,3.156621,3.073002,77.61943,161.1549,545.9491,2471.9897
243,2.4605246,2.3984945,77.70296,145.39839,527.17255,2574.6392
244,2.2939994,2.2120707,80.638176,145.54607,574.1962,2501.893
245,2.5815191,2.5205383,79.39696,146.1709,563.0151,2362.3135
246,2.278801,2.278801,82.07717,150.1387,565.62665,2287.9363
247,2.3046794,2.3046794,94.672226,163.25146,595.5292,2290.7312
248,2.4578578,2.3997982,105.90077,171.1211,585.6475,2245.3403
249,2.2500923,2.2112978,92.50595,160.9592,577.1875,2248.0168
250,2.1034503,2.0841527,80.645134,148.16782,511.06125,2172.5168
251,1.4262089,1.4262089,69.74932,142.46669,493.0057,2026.7584
252,1.8183192,1.8183192,64.17152,136.999,462.44025,1959.0306
253,9.275277,6.2198915,98.31794,228.79018,979.1055,2537.352
254,10.207864,6.7690444,119.23654,191.23456,1079.4635,2545.2693
255,9.512735,6.6661215,120.92705,184.16512,1066.3271,2539.1797
256,9.585377,6.7133536,108.27527,178.56802,1061.3561,2452.241
257,8.092611,6.3457475,89.23262,166.7363,986.1221,2332.9536
258,7.577485,5.771636,85.15819,154.55945,951.293,2155.4404
259,7.9710293,6.287493,111.80056,153.99205,932.8853,1994.7501
260,7.019674,5.5400367,99.066864,149.71863,936.8168,1968.7432
261,8.017021,6.5095468,105.93431,160.99136,884.2705,1859.7433
262,6.638743,5.338371,101.60014,147.04474,1011.51855,1790.7153
263,7.0297036,5.745431,93.9209,138.1945,1028.9053,1783.4493
264,6.386715,6.1106324,139.84514,333.56323,767.2341,2936.3982
265,6.8037214,6.657405,142.12828,383.0934,786.031,3062.0405
266,6.011664,5.993502,127.57078,394.79016,775.90424,2904.5056
267,5.221552,5.221552,120.80033,355.78824,758.78723,2920.022
268,6.3371425,6.390847,118.68716,353.788,724.5108,2833.1682
269,7.137898,7.17341,127.77193,377.38528,760.34595,2828.3123
270,6.3326745,6.3155594,130.0252,379.36145,765.17535,2628.4536
271,6.290015,6.290015,132.34741,394.53992,768.97577,2678.7751
272,7.7625914,7.7625914,125.903786,344.63522,779.18713,2554.182
273,6.554454,6.554454,125.9573,340.1372,738.28217,2384.0598
274,7.0464916,7.063269,102.87878,323.2662,738.9253,2354.1992
275,2.2793763,1.3676258,23.13567,259.39304,413.02298,3040.46
276,3.865222,2.614709,26.147089,310.923,417.2166,2806.1511
277,1.8087537,1.1304711,31.99233,300.81836,371.81192,2676.8425
278,3.3613558,2.3529491,33.38947,311.1495,417.03223,2554.6304
279,3.3263075,2.550169,25.834322,242.48781,389.73236,2448.384
280,1.9766079,2.0864196,19.436646,234.7771,399.9337,2612.856
281,3.5992851,3.3875625,24.771551,312.29092,358.23474,2298.8848
282,2.4291968,2.3235795,24.291967,306.8181,356.247,2328.0156
283,3.4500928,3.4500928,21.223299,244.22475,382.01938,2184.8496
284,3.3463807,3.3463807,23.842962,228.07677,385.46124,2042.1288
285,2.6429129,2.7445636,15.959128,222.51294,371.43094,2031.8918
286,3.7941637,3.673714,69.077866,238.49028,610.13763,2958.1226
287,2.586656,2.5265012,67.85461,217.2791,587.1108,3170.9395
288,2.8605857,2.8009903,80.99033,211.98132,615.5623,3065.5945
289,3.318202,3.318202,69.03045,200.27719,600.4168,2898.9233
290,2.3577774,2.3577774,67.078766,211.90524,579.188,2734.963
291,2.5776577,2.5776577,60.926456,198.42107,551.1501,2657.2722
292,2.9971764,2.827525,64.29792,193.96822,539.15247,2533.01
293,3.9679594,3.9112742,63.26061,212.68262,511.7534,2352.093
294,3.8963327,3.7833955,73.23976,201.64934,492.2367,2167.9985
295,2.313608,2.313608,68.84394,187.40224,492.40347,2115.879
296,2.9782193,2.9782193,56.531013,184.92535,459.1973,2034.0686
297,6.5662823,6.5662823,231.24512,251.55478,892.09814,2246.025
298,8.685619,8.733873,237.98598,307.0849,854.6167,2174.9275
299,8.458758,8.458758,239.1819,356.52963,885.646,2217.9238
300,8.923823,8.923823,236.68515,340.64545,994.66656,2415.3665
301,7.474371,7.474371,213.14993,362.76773,1005.6505,2278.727
302,8.650806,8.650806,197.45674,366.6094,986.0659,2184.2026
303,9.056196,9.056196,282.02438,413.3392,997.46387,2020.2129
304,7.754377,7.754377,278.75577,447.38333,1000.8369,2002.2363
305,6.480156,6.480156,254.29703,438.80475,950.73706,1953.7474
306,6.127829,6.127829,236.7856,449.0206,868.6983,1825.111
307,5.8933654,5.8560653,197.61423,425.96347,829.0249,1586.0239
308,1.8329561,1.1664265,37.742233,97.479935,415.9144,1729.7273
309,1.389302,0.8172365,36.367023,100.02975,399.54694,1639.3765
310,0.9685879,0.8878722,33.335567,95.648056,390.50235,1571.3724
311,1.3582919,0.8788947,38.35177,80.05932,366.6589,1592.717
312,1.3471001,1.0301354,39.620594,96.59501,394.54187,1562.8739
313,1.4931402,1.3359675,28.68401,76.30732,329.43387,1453.2969
314,0.9886721,0.9126204,34.679577,93.92385,366.64523,1579.5938
315,0.91585296,0.8395319,33.581276,83.18998,390.84024,1480.5526
316,1.0668309,0.99062866,32.309734,98.22464,330.10794,1700.5284
317,0.83623546,0.83623546,34.513718,95.86299,373.6452,1729.335
318,0.9876506,0.9876506,34.263878,100.43646,413.36975,1699.7466
319,3.5160165,3.5160165,164.88779,208.02895,534.38586,1892.5902
320,4.0532722,4.089462,170.2133,209.53969,564.70764,1882.2502
321,4.037946,4.061769,166.22282,197.64496,522.8962,1763.6057
322,4.8081045,4.8081045,158.00426,194.83482,514.64484,1685.0511
323,4.609978,4.609978,153.7757,189.85583,482.5189,1646.1503
324,4.8935466,4.8935466,155.07967,188.68906,457.43512,1604.52
325,4.8942294,4.8942294,153.108,178.33565,451.3007,1543.5277
326,4.3945575,4.3945575,144.74358,167.51222,429.21332,1527.5297
327,4.342469,4.342469,146.68538,163.44315,466.60757,1600.0729
328,3.6876276,3.6876276,134.54639,163.15729,427.08276,1483.1777
329,4.2370443,4.2370443,134.9687,158.57509,442.34286,1470.4485
330,7.572617,6.675122,140.17755,573.8361,1196.9784,3249.2136
331,5.5220175,4.90846,150.3216,593.70056,1090.5706,3146.2114
332,8.357535,7.5877624,121.29423,568.20245,1079.5516,2936.464
333,6.310257,5.8750668,105.37041,519.073,1033.4133,2752.3057
334,9.072184,8.052235,110.69138,526.6698,1069.5514,2795.1453
335,7.630352,7.1004663,100.307335,496.50275,1109.5273,2686.8906
336,7.0602717,6.548658,108.20634,493.24695,1088.1005,2382.8928
337,9.57358,9.110342,119.92709,508.73795,1074.8145,2365.1887
338,7.6443796,7.4405293,109.671364,488.9345,1055.9436,2395.4426
339,10.077054,9.568111,98.327614,484.00394,1117.3824,2350.3965
340,6.9683027,6.821085,79.2031,461.87088,1031.2107,2182.7961
341,5.1750393,4.9521646,220.3686,326.64716,478.0714,1853.1261
342,5.2079463,5.034348,198.30882,309.01022,436.1655,1786.5209
343,4.8945847,4.8030467,197.36107,288.52203,412.9974,1712.4315
344,5.0213633,4.9783535,192.41391,263.3635,405.6498,1674.2644
345,4.770763,4.797595,179.80785,251.74493,379.38565,1669.1552
346,4.685002,4.6957226,188.574,247.38312,364.69043,1620.0244
347,4.7860317,4.7704926,178.75102,235.2148,355.86526,1540.4236
348,4.1699615,4.159589,161.24889,234.6537,337.86026,1510.4078
349,4.3028727,4.3028727,163.61725,216.80096,337.3174,1533.552
350,4.0208206,4.0208206,144.87825,224.49667,323.1535,1507.921
351,4.486133,4.4809527,147.49846,227.24388,336.57913,1506.1959
352,7.1836944,7.01693,161.56898,317.04465,1255.7097,2985.941
353,6.3663354,6.252876,167.71826,309.7821,1284.4744,2990.8035
354,6.795741,6.634528,151.35405,299.71945,1234.3323,2843.6333
355,6.2112503,5.953471,150.1134,286.8591,1235.9529,2848.8403
356,6.432868,6.1789393,142.46626,285.259,1223.6113,2746.6292
357,6.955144,6.8005853,150.21922,298.75018,1240.013,2628.5808
358,6.0972133,5.973011,152.611,290.00153,1217.9183,2561.9812
359,6.6066422,6.2684183,153.28313,293.37552,1229.6584,2643.7957
360,6.695108,6.4627156,158.4804,286.6613,1234.3455,2594.2158
361,5.4058805,5.295331,130.72502,257.86823,1192.0575,2387.0225
362,5.0422688,4.788037,101.798744,238.91455,1087.7953,2200.3677
363,0.64665383,0.48499036,9.053153,47.529057,338.3616,1793.171
364,1.1460512,1.3097727,9.823296,44.859715,354.45724,1896.3872
365,0.81934303,0.81934303,9.504379,44.244526,367.55728,1884.6528
366,1.47726,1.31312,8.69942,46.944042,321.55026,1695.0739
367,1.3121401,1.3121401,7.052753,54.12578,334.59573,1560.7906
368,1.9683586,1.8043288,8.857614,75.45375,335.11307,1596.3389
369,1.2581247,1.2581247,11.952185,123.13896,404.80164,1515.4113
370,2.1953588,2.0385473,11.4472275,135.6418,360.9797,1488.9236
371,0.78294677,0.78294677,11.431024,133.41414,360.7819,1523.3013
372,1.875806,1.875806,16.725937,204.46286,379.22543,1480.9489
373,1.502221,1.502221,13.519989,176.6612,295.33667,1362.5145
374,3.78143,3.274827,141.2156,159.54378,801.8441,2653.1255
375,4.081497,3.9370193,155.30458,161.68869,875.0838,2672.622
376,4.7293177,4.4505935,160.67992,152.14737,891.59326,2580.8499
377,4.723962,4.328801,151.73257,144.62866,853.93243,2527.077
378,4.5365705,4.3034663,156.26065,144.41714,865.3374,2529.7925
379,5.2888207,5.037826,167.38669,145.46947,898.0507,2501.442
380,4.6959376,4.451993,169.09732,144.7464,921.789,2463.3896
381,4.6146855,4.3006425,159.84782,143.91014,857.59875,2310.3784
382,4.8021684,4.104939,163.8838,143.56828,894.33636,2277.9797
383,4.5778885,4.4562745,153.4939,138.89157,903.49445,2169.7366
384,4.1294985,4.094797,142.9622,136.30815,924.11414,2140.5898
385,5.451911,5.4219556,78.33378,388.1641,948.42285,2879.208
386,5.526248,5.526248,82.02744,397.56128,1032.7512,2823.9727
387,4.8231773,4.8231773,87.76408,381.26773,1040.7114,2964.4785
388,6.064542,6.064542,94.913025,377.6208,1025.8496,3044.1646
389,5.4510255,5.4510255,90.55736,375.18295,1032.8813,2967.9075
390,5.446344,5.446344,94.07321,382.87506,1039.5236,2732.3171
391,5.811335,5.811335,87.728806,364.99655,962.67,2287.0117
392,6.2343984,6.2343984,94.57834,362.74133,958.11237,2253.106
393,5.878764,5.878764,102.0742,384.97586,974.46063,2213.7708
394,6.4818635,6.4818635,93.01751,372.09775,1054.577,2321.6428
395,5.247455,5.247455,89.79876,349.9649,1008.48016,2165.1807
396,2.093359,2.0335488,86.36601,231.94418,766.1096,3416.063
397,2.4739666,2.4739666,80.9635,195.64954,784.8365,3623.5955
398,2.0904994,2.0904994,79.61319,181.35083,746.07605,3452.9534
399,1.9527116,1.9239953,81.75544,183.00928,820.19635,3512.7847
400,2.5613594,2.5613594,78.29222,187.83302,855.8356,3354.4702
401,2.2471223,2.2471223,69.60461,185.94936,775.84705,3182.9363
402,2.3778913,2.3238482,73.28229,174.61287,653.83905,2671.1555
403,2.005693,2.005693,77.571526,179.26558,619.5965,2570.946
404,2.2754505,2.2754505,71.101135,158.58551,563.5889,2479.5183
405,2.3608906,2.3608906,67.04393,165.77208,529.56384,2282.1226
406,2.3913186,2.5752661,62.80496,156.61823,516.0255,2283.026
407,5.0811324,4.870122,153.23581,249.6676,456.45786,1906.429
408,5.491896,5.1207085,147.63162,243.07758,458.45944,1884.2013
